15.44 18.740000000000002 4.838999999999999;
17.475810147392444 1.0780181506460924 0.6948146928204123;
1.0671363111842866 6.762041629966124 4.748814692820412;
18.78713219158912 13.345305976255643 1.6106293856408245;
1.7460800934631713 18.881423874225966 3.860629385640825;
4.989355049537276 2.4217629030408774 2.824382609631818;
9.532137303480495 7.895899379618335 0.020197302452229948;
10.460900076929253 13.003116753485994 2.3563706143591756;
4.5151086859101905 11.06811738232064 -0.42529715025711257

{71.79243464052287 %}
